Sample,Time,ID,ll PCR,Primer
R1_LK1-C09,T-1,1,"501, 701",200
R1_LK1-H02,T-1,2,"502,702",201
R1-LK2-D07,T-1,3,"503,703",202
R1_LK5-C04,T-1,4,"504, 704",203
R1_LK6-A05,T-1,5,"505, 705",204
R2_LK1-C09,T-1,6,"506, 706",205
R2_LK1-H02,T-1,7,"507, 707",206
R2-LK2-D07,T-1,8,"508, 708",207
R2_LK5-C04,T-1,9,"509, 709",208
R2_LK6-A05,T-1,10,"510, 710",209
R1_LK1-C09,T0,11,"511, 711",200
R1_LK1-H02,T0,12,"512, 712",201
R1-LK2-D07,T0,13,"513, 713",202
R1_LK5-C04,T0,14,"514, 714",203
R1_LK6-A05,T0,15,"515, 715",204
R2_LK1-C09,T0,16,"516, 716",205
R2_LK1-H02,T0,17,"517, 717",206
R2-LK2-D07,T0,18,"518, 718",207
R2_LK5-C04,T0,19,"519, 719",208
R2_LK6-A05,T0,20,"520, 720",209
R1_LK1-C09,T1,21,"502,703",200
R1_LK1-H02,T1,22,"503,704",201
R1-LK2-D07,T1,23,"504, 705",202
R1_LK5-C04,T1,24,"505, 706",203
R1_LK6-A05,T1,25,"506, 707",204
R2_LK1-C09,T1,26,"507, 708",205
R2_LK1-H02,T1,27,"508, 709",206
R2-LK2-D07,T1,28,"509, 710",207
R2_LK5-C04,T1,29,"510, 711",208
R2_LK6-A05,T1,30,"511, 712",209
R1_LK1-C09,T2,31,"512, 713",200
R1_LK1-H02,T2,32,"513, 714",201
R1-LK2-D07,T2,33,"514, 715",202
R1_LK5-C04,T2,34,"515, 716",203
R1_LK6-A05,T2,35,"516, 717",204
R2_LK1-C09,T2,36,"517, 718",205
R2_LK1-H02,T2,37,"518, 719",206
R2-LK2-D07,T2,38,"519, 720",207
R2_LK5-C04,T2,39,"501, 704",208
R2_LK6-A05,T2,40,"502,705",209
R1_LK1-C09,T3,41,"503,706",200
R1_LK1-H02,T3,42,"504, 707",201
R1-LK2-D07,T3,43,"505, 708",202
R1_LK5-C04,T3,44,"506, 709",203
R1_LK6-A05,T3,45,"507, 710",204
R2_LK1-C09,T3,46,"508, 711",205
R2_LK1-H02,T3,47,"509, 712",206
R2-LK2-D07,T3,48,"510, 713",207
R2_LK5-C04,T3,49,"511, 714",208
R2_LK6-A05,T3,50,"512, 715",209
R1_LK1-C09,T4,51,"513, 716",200
R1_LK1-H02,T4,52,"514, 717",201
R1-LK2-D07,T4,53,"515, 718",202
R1_LK5-C04,T4,54,"516, 719",203
R1_LK6-A05,T4,55,"517, 720",204
R2_LK1-C09,T4,56,"501, 705",205
R2_LK1-H02,T4,57,"502,706",206
R2-LK2-D07,T4,58,"503,707",207
R2_LK5-C04,T4,59,"504, 708",208
R2_LK6-A05,T4,60,"505, 709",209
R1_LK1-C09,T0,61,"506, 710",200
R1_LK1-H02,T0,62,"507, 711",201
R1-LK2-D07,T0,63,"508, 712",202
R1_LK5-C04,T0,64,"509, 713",203
R1_LK6-A05,T0,65,"510, 714",204
R2_LK1-C09,T0,66,"511, 715",205
R2_LK1-H02,T0,67,"512, 716",206
R2-LK2-D07,T0,68,"513, 717",207
R2_LK5-C04,T0,69,"514, 718",208
R2_LK6-A05,T0,70,"515, 719",209
R1_LK1-C09,T1,71,"516, 720",200
R1_LK1-H02,T1,72,"501, 706",201
R1-LK2-D07,T1,73,"502,707",202
R1_LK5-C04,T1,74,"503,708",203
R1_LK6-A05,T1,75,"504, 709",204
R2_LK1-C09,T1,76,"505, 710",205
R2_LK1-H02,T1,77,"506, 711",206
R2-LK2-D07,T1,78,"507, 712",207
R2_LK5-C04,T1,79,"508, 713",208
R2_LK6-A05,T1,80,"509, 714",209
R1_LK1-H02,T2,81,"510, 715",200
R1-LK2-D07,T2,82,"511, 716",201
R1_LK6-A05,T2,83,"512, 717",202
R2_LK1-H02,T2,84,"513, 718",203
R2-LK2-D07,T2,85,"514, 719",204
R2_LK6-A05,T2,86,"515, 720",205
R1_LK1-C09,T3,87,"501, 708",206
R1_LK1-H02,T3,88,"502,709",207
R1-LK2-D07,T3,89,"503,710",208
R1_LK5-C04,T3,90,"504, 711",209
R1_LK6-A05,T3,91,"505, 712",200
R2_LK1-C09,T3,92,"506, 713",201
R2_LK1-H02,T3,93,"507, 714",202
R2-LK2-D07,T3,94,"508, 715",203
R2_LK5-C04,T3,95,"509, 716",204
R2_LK6-A05,T3,96,"510, 717",205
R1_LK1-H02,T4,97,"511, 718",206
R1-LK2-D07,T4,98,"512, 719",207
R1_LK6-A05,T4,99,"513, 720",208
R2_LK1-H02,T4,100,"519,701",209
R2-LK2-D07,T4,101,"518, 702",200
R2_LK6-A05,T4,102,"517, 703",201
1-M6,Hyg,103,"516, 701",202
1-M10,Hyg,104,"520, 702",203
1-M66,Hyg,105,"519,703",204
1-M71,Hyg,106,"518, 704",205
1-M99,Hyg,107,"520, 704",206
1-M117,Hyg,108,"517, 701",207
1-M127,Hyg,109,"516, 702",208
2-M6,Hyg,110,"501, 718",209
2-M10,Hyg,111,"520, 707",200
2-M66,Hyg,112,"519, 708",201
2-M71,Hyg,113,"518, 709",202
2-M99,Hyg,114,"517, 710",203
2-M117,Hyg,115,"503, 711",204
2-M127,Hyg,116,"504, 712",205